0    0.50
2.0  0.5223367697594501
4.0  0.5609091904038327
6.0  0.629743016620827
8.0  0.6873398582354384
10.0 0.7685998749546232
12.0 0.8532001641745937
14.0 0.9564289731798428
16.0 1.0755561838285264
18.0 1.1914250843379934
20.0 1.3216405503965083
22.0 1.4527359432272053
24.0 1.6024018909200488
26.0 1.7724635623040246
28.0 1.9390566915695195
30.0 2.0978049501352247
32.0 2.2730943492915827
34.0 2.4205293823622402
36.0 2.5880081645216477
38.0 2.7537870330902843
40.0 2.916167702949278
42.0 3.065824192281571
44.0 3.1954065153636955
46.0 3.3399802713836317
48.0 3.4778742716403612
50.0 3.619252757435319
52.0 3.769964330283402
54.0 3.910408937919145
56.0 4.045627669683732
58.0 4.1913791515158065
60.0 4.344308082086162
62.0 4.489626045160522
64.0 4.648345432323048
66.0 4.789026542963311
68.0 4.927720454698225
70.0 5.058343659528657
72.0 5.184613870246616
74.0 5.324072141418106
76.0 5.448927003768473
78.0 5.557594126086248
80.0 5.6834836098227886
82.0 5.790029717894873
84.0 5.899742764740687
86.0 6.019422070445091
88.0 6.114373968107939
90.0 6.203460373149469
92.0 6.292528328578758
94.0 6.374115840505498
96.0 6.455637562192295
98.0 6.5382790579888255
